-71.2019163,42.0026153,41.761,0.42,0.08,9.41,-0.04,0.04,0.03,,
-71.2019167,42.0026148,41.772,0.43,0.09,9.42,-0.04,0.04,0.03,,
-71.2019171,42.0026143,41.779,0.42,0.08,9.42,-0.04,0.04,0.03,,
-71.2019174,42.0026139,41.787,0.43,0.09,9.43,-0.04,0.04,0.03,,
-71.2019175,42.0026135,41.809,0.42,0.08,9.41,-0.04,0.04,0.03,,
-71.2019176,42.0026133,41.826,0.43,0.09,9.42,-0.04,0.04,0.03,,
-71.2019177,42.002613,41.845,0.43,0.08,9.43,-0.04,0.04,0.03,,
-71.2019176,42.0026126,41.864,0.43,0.09,9.43,-0.04,0.04,0.03,,
-71.2019176,42.0026123,41.88,0.42,0.08,9.43,-0.04,0.04,0.03,,
-71.2019176,42.0026121,41.896,0.44,0.08,9.44,-0.04,0.04,0.03,,
-71.2019174,42.0026117,41.907,0.42,0.09,9.41,-0.04,0.04,0.03,,
-71.2019171,42.0026111,41.917,0.42,0.09,9.42,-0.04,0.04,0.03,,
-71.2019168,42.0026103,41.924,0.43,0.08,9.42,-0.04,0.04,0.03,,
-71.2019162,42.0026092,41.931,0.42,0.09,9.42,-0.04,0.04,0.03,,
-71.2019153,42.0026078,41.934,0.43,0.08,9.42,-0.04,0.04,0.03,,
-71.201914,42.0026061,41.935,0.42,0.08,9.43,-0.04,0.04,0.03,,
-71.2019123,42.002604,41.937,0.43,0.08,9.41,-0.04,0.04,0.03,,
-71.2019101,42.0026017,41.941,0.42,0.08,9.43,-0.04,0.04,0.03,,
-71.2019049,42.0026009,42.178,0.42,0.09,9.42,-0.04,0.04,0.03,,
-71.2019004,42.0025983,42.238,0.44,0.09,9.41,-0.04,0.04,0.03,,
-71.2018953,42.0025953,42.297,0.41,0.08,9.42,-0.04,0.04,0.03,,
-71.2018896,42.0025919,42.354,0.42,0.08,9.43,-0.04,0.04,0.03,,
-71.2018829,42.0025881,42.421,0.44,0.09,9.42,-0.04,0.04,0.03,,
-71.2018753,42.0025838,42.481,0.4,0.07,9.42,-0.04,0.04,0.03,,
-71.2018671,42.002579,42.539,0.44,0.09,9.42,-0.04,0.04,0.03,,
-71.2018577,42.0025735,42.59,0.43,0.07,9.42,-0.04,0.04,0.03,,
-71.2018472,42.0025673,42.635,0.43,0.07,9.43,-0.04,0.04,0.03,,
-71.2018356,42.0025604,42.657,0.42,0.09,9.42,-0.04,0.04,0.03,,
-71.2018221,42.0025521,42.592,0.42,0.09,9.4,-0.04,0.05,0.03,,
-71.2018054,42.0025402,41.891,0.43,0.07,9.47,-0.05,0.04,0.03,,
-71.2017931,42.0025331,41.475,0.43,0.07,9.37,-0.04,0.04,0.03,,
